2016-09-28 15:52:18,963 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:23,038 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:24,434 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:24,518 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:28,569 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:29,981 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:30,079 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:34,091 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:35,654 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:35,745 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:39,622 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:41,233 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:41,266 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:45,145 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:46,904 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:46,915 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:50,671 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:52,431 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:52,586 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:56,199 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:57,971 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:58,262 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
