2016-09-28 18:52:10,740 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:52:10,778 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:52:11,430 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:53:12,260 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:53:12,307 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:53:12,953 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:54:13,772 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:54:13,862 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:54:14,458 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:55:15,344 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:55:15,366 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:55:16,027 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:56:16,847 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:56:16,889 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
2016-09-28 18:56:17,577 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.34 is running, app log is OK!
2016-09-28 18:57:18,369 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.35 is running, app log is OK!
2016-09-28 18:57:18,429 - dataflume-monitor-logger - INFO - applier tungsten.jar on 10.249.7.36 is running, app log is OK!
